id, latitude, longitude
1,47.39804886,8.476431457
2,47.39507867,8.4853914
3,47.38555793,8.508711261
4,47.38508787,8.508391265
5,47.38323762,8.506081285
6,47.38191751,8.509311267
7,47.3805374,8.512611248
8,47.37954732,8.515841229
9,47.3749968,8.516851234
10,47.37464677,8.517321232
11,47.37270657,8.519661221
12,47.33127184,8.527681259
13,47.33013172,8.528971254
14,47.36966628,8.52566119
15,47.37102642,8.524001197
16,47.37110643,8.523711199
17,47.37413673,8.51924122
18,47.37525685,8.518621222
19,47.37809719,8.518921212
20,47.37866727,8.519451207
21,47.38004745,8.520711195
22,47.38113754,8.51809121
23,47.38210763,8.51612122
24,47.38223764,8.515981221
25,47.3828477,8.515371223
26,47.38303772,8.515011225
27,47.38308772,8.514461229
28,47.38310771,8.513881233
29,47.38939842,8.511421232
30,47.38967846,8.511701229
31,47.39276868,8.502371285
32,47.3929387,8.502321285
33,47.3836078,8.515721219
34,47.38958845,8.512041227
35,47.36873621,8.528841172
36,47.32875172,8.573321005
37,47.35099436,8.559901027
38,47.36239564,8.547301073
39,47.36429585,8.546171075
40,47.36635609,8.544971077
41,47.36670613,8.544711078
42,47.36693616,8.544551078
43,47.36539591,8.538811118
44,47.39316851,8.488911379
45,47.39373859,8.489591373
46,47.39374859,8.489781372
47,47.39355859,8.491221362
48,47.39326859,8.492891351
49,47.39648877,8.481611423
50,47.39412865,8.490691364
51,47.39400865,8.491461359
52,47.39406869,8.493291346
53,47.38886806,8.491381373
54,47.38886805,8.491211374
55,47.3941987,8.493231346
56,47.38228726,8.488051412
57,47.38335732,8.484101437
58,47.38195716,8.483631443
59,47.37809672,8.483201455
60,47.37541643,8.484601451
61,47.37426628,8.482661467
62,47.37540645,8.485611444
63,47.37936703,8.495341368
64,47.38033711,8.493631378
65,47.36893619,8.524881197
66,47.36743599,8.523271211
67,47.36301547,8.522711225
68,47.3710065,8.53134115
69,47.37372685,8.53331113
70,47.37607716,8.535761108
71,47.37613717,8.536071106
72,47.38549826,8.533191097
73,47.39031873,8.525361135
74,47.40749205,8.602950572
75,47.40968202,8.581880694
76,47.40746201,8.60003059
77,47.33905295,8.567271015
78,47.38724827,8.518931187
79,47.38260767,8.514551229
80,47.3828977,8.514651228
81,47.38280768,8.514211231
82,47.38306771,8.513941232
83,47.38349778,8.515381222
84,47.37980742,8.521221193
85,47.37868732,8.523181183
86,47.37651704,8.521601199
87,47.37572694,8.521051204
88,47.37472682,8.520491211
89,47.3744668,8.521511205
90,47.3744168,8.5223212
91,47.37428682,8.525121182
92,47.37322673,8.528031166
93,47.37389693,8.538321098
94,47.37233674,8.538331102
95,47.3765272,8.534801113
96,47.37618717,8.535521109
97,47.37597715,8.536031107
98,47.37678727,8.538101091
99,47.37690733,8.541871067
100,47.37806747,8.541841063
101,47.3783275,8.541701064
102,47.37854753,8.541351065
103,47.37857753,8.541191066
104,47.37919757,8.538521081
105,47.37966761,8.537521086
106,47.39193882,8.518241178
107,47.3913087,8.5152812
108,47.39553046,8.60360062
109,47.40061117,8.606050584
110,47.4025414,8.603910588
111,47.40245139,8.604010588
112,47.36548606,8.552331034
113,47.40547178,8.602610583
114,47.40711198,8.601740581
115,47.40788208,8.60142058
116,47.40798209,8.601240581
117,47.40709198,8.601630582
118,47.40542177,8.602520584
119,47.40332153,8.605990572
120,47.4096023,8.600640577
121,47.41075245,8.600140575
122,47.41345269,8.592440611
123,47.41447284,8.593260601
124,47.36576606,8.549441051
125,47.36400587,8.551521043
126,47.36450594,8.552511036
127,47.36515603,8.553241029
128,47.36470598,8.554551023
129,47.36521604,8.554181023
130,47.36521598,8.547911062
131,47.39081988,8.608130613
132,47.38454902,8.605200655
133,47.38452901,8.605260655
134,47.40278146,8.606160574
135,47.40246142,8.606120575
136,47.39651049,8.596060661
137,47.40441167,8.604980574
138,47.40436166,8.604890574
139,47.39820088,8.608550579
140,47.3970107,8.606810595
141,47.39607056,8.606060603
142,47.39686068,8.607060594
143,47.39963106,8.607840577
144,47.39113993,8.608550609
145,47.39539046,8.60540061
146,47.39528045,8.60539061
147,47.3949004,8.60581061
148,47.39485039,8.60572061
149,47.39372025,8.606660609
150,47.39369025,8.606860608
151,47.39268012,8.607110611
152,47.39264011,8.606960612
153,47.38763942,8.604560647
154,47.38635925,8.60491065
155,47.36642613,8.547861059
156,47.36565603,8.547341064
157,47.36485596,8.549691052
158,47.36864636,8.543921077
159,47.37006652,8.543341077
160,47.37181673,8.542821075
161,47.37248681,8.542771074
162,47.37292686,8.542761072
163,47.37590723,8.543491059
164,47.37642729,8.543491058
165,47.37437704,8.543021067
166,47.37442703,8.541951073
167,47.37687734,8.542391063
168,47.37719733,8.538871085
169,47.37721733,8.538771086
170,47.37689732,8.541061072
171,47.36748623,8.545261072
172,47.36469591,8.547351067
173,47.39641048,8.595930662
174,47.39626048,8.597530653
175,47.39585046,8.600570637
176,47.39544044,8.603350622
177,47.36610611,8.550061046
178,47.36656616,8.549061051
179,47.36788643,8.560580977
180,47.37053678,8.563080954
181,47.36959665,8.561650965
182,47.37091684,8.563640949
183,47.37252706,8.566130929
184,47.37230702,8.564990937
185,47.37527741,8.566320919
186,47.37513739,8.566640918
187,47.37391724,8.566590922
188,47.37331716,8.566470925
189,47.37855792,8.575230854
190,47.37622754,8.567510909
191,47.38203861,8.598000707
192,47.38324864,8.586340771
193,47.39200996,8.60093065
194,47.37496737,8.566750918
195,47.37576749,8.567960908
196,47.37544745,8.568130908
197,47.37417729,8.56843091
198,47.37314715,8.567680918
199,47.37288712,8.567050922
200,47.37282712,8.568120916
201,47.3714969,8.562670953
202,47.37146689,8.562660954
203,47.37096682,8.561510962
204,47.37093681,8.560430969
205,47.37073677,8.558990978
206,47.37049673,8.557950985
207,47.36910651,8.553671015
208,47.36900649,8.55305102
209,47.36545608,8.555361016
210,47.3674763,8.552591027
211,47.38715857,8.54126104
212,47.38668852,8.541561039
213,47.38549838,8.542331038
214,47.37933766,8.544241044
215,47.38625845,8.540541047
216,47.38701857,8.542591031
217,47.36631612,8.548751054
218,47.36637613,8.548821053
219,47.36816632,8.545981066
220,47.36936645,8.54468107
221,47.36911642,8.544991069
222,47.3731369,8.543971064
223,47.37372698,8.544851057
224,47.37344694,8.543921064
225,47.36358566,8.535181145
226,47.36454577,8.534561147
227,47.36605594,8.533551149
228,47.36585598,8.539731111
229,47.36759617,8.538281115
230,47.36763618,8.538581113
231,47.3687163,8.537561117
232,47.36902634,8.538021113
233,47.37573716,8.539261087
234,47.37518709,8.53898109
235,47.37460702,8.538681094
236,47.37009649,8.539771099
237,47.36994647,8.539451102
238,47.36962643,8.539541102
239,47.36936638,8.53844111
240,47.36971642,8.53824111
241,47.37012647,8.537731112
242,47.36576604,8.547201065
243,47.40207132,8.602540599
244,47.40204131,8.6022606
245,47.40064111,8.601470611
246,47.36822647,8.560250978
247,47.3762065,8.483241459
248,47.37603647,8.482431465
249,47.37681655,8.481301471
250,47.37800666,8.479851478
251,47.37735662,8.482121464
252,47.37853673,8.481071469
253,47.37639653,8.483931453
254,47.38242721,8.483801441
255,47.38193715,8.483341446
256,47.38151709,8.482581452
257,47.38112704,8.482041456
258,47.38065698,8.481321462
259,47.38153706,8.480301468
260,47.38201713,8.481081461
261,47.38236717,8.481641457
262,47.38380733,8.481421455
263,47.38291725,8.48241145
264,47.38313723,8.479901467
265,47.38759923,8.588610741
266,47.38879946,8.595160697
267,47.38868947,8.596600689
268,47.3845274,8.480871457
269,47.38414736,8.48064146
270,47.38238714,8.479251473
271,47.38176706,8.47855148
272,47.38480739,8.477741479
273,47.38421739,8.482111449
274,47.3801669,8.479851474
275,47.38188706,8.477841484
276,47.38517748,8.481361452
277,47.38598758,8.481801447
278,47.38693769,8.481911444
279,47.38694764,8.478711467
280,47.38610754,8.478121473
281,47.38497741,8.478121476
282,47.3855675,8.479641464
283,47.38570753,8.48012146
284,47.38609759,8.48137145
285,47.38642756,8.47711148
286,47.38598751,8.476811483
287,47.38419731,8.476941486
288,47.38553743,8.475261495
289,47.38748767,8.47667148
290,47.38674758,8.476151486
291,47.38778768,8.474891493
292,47.38706759,8.474301498
293,47.38672756,8.475071494
294,47.38808775,8.477481473
295,47.38766774,8.47944146
296,47.38873775,8.472461508
297,47.38927781,8.472741505
298,47.3897679,8.474701489
299,47.39007795,8.476061479
300,47.38907774,8.469841526
301,47.38921777,8.470731519
302,47.38973795,8.478411463
303,47.38988796,8.477561469
304,47.38905786,8.477071474
305,47.38853781,8.478051468
306,47.38934792,8.479131459
307,47.38848784,8.480461451
308,47.390078,8.478781459
309,47.39051806,8.479241455
310,47.39078801,8.474381489
311,47.39024793,8.473531497
312,47.39040796,8.473871494
313,47.39099799,8.472061506
314,47.39174809,8.472721499
315,47.39064808,8.479601452
316,47.39103812,8.479501452
317,47.39107812,8.479121455
318,47.39082808,8.478831457
319,47.39074807,8.478841457
320,47.39161814,8.476931469
321,47.39422836,8.472041498
322,47.39425837,8.472441495
323,47.39793882,8.474591471
324,47.39386839,8.476701465
325,47.39125817,8.481271439
326,47.39181824,8.481591435
327,47.39099816,8.482161433
328,47.39171829,8.485231409
329,47.39150828,8.486511401
330,47.38975807,8.485451412
331,47.39013809,8.48422142
332,47.39047813,8.484421418
333,47.39123827,8.487431395
334,47.38978809,8.486831403
335,47.389028,8.486741405
336,47.38936802,8.485171415
337,47.38920801,8.48601141
338,47.38933806,8.488041395
339,47.38902804,8.489011389
340,47.38823794,8.488711393
341,47.38807794,8.489741386
342,47.38702777,8.486341413
343,47.39326861,8.494141342
344,47.39247841,8.487361392
